<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.17	12:15:00	175760	175980	175685	175955	100889	380289	1
2026.07.17	12:30:00	175950	176035	175785	175820	88699	337684	1
2026.07.17	12:45:00	175825	176065	175740	175955	80763	301694	1
2026.07.17	13:00:00	175950	176025	175745	175785	98886	397037	1
2026.07.17	13:15:00	175780	175800	175415	175485	95076	377992	1
2026.07.17	13:30:00	175485	175500	175275	175460	79386	317550	1
2026.07.17	13:45:00	175465	175570	175325	175385	74288	294313	1
2026.07.17	14:00:00	175380	175550	175350	175360	68049	272723	1
2026.07.17	14:15:00	175355	175470	175345	175420	45770	185977	1
2026.07.17	14:30:00	175415	175535	175185	175220	65946	269873	1
2026.07.17	14:45:00	175215	175380	175040	175055	79966	324873	1
2026.07.17	15:00:00	175060	175070	174865	174885	86774	343504	1
2026.07.17	15:15:00	174885	175065	174865	174930	56822	217830	1
2026.07.17	15:30:00	174930	174990	174810	174930	61232	245725	1
2026.07.17	15:45:00	174930	174985	174845	174925	36666	137269	1
2026.07.17	16:00:00	174920	174985	174830	174840	42524	166242	1
2026.07.17	16:15:00	174845	175070	174740	175055	72911	294580	1
2026.07.17	16:30:00	175055	175215	174955	175185	68828	285663	1
2026.07.17	16:45:00	175190	175335	175140	175230	64001	264376	1
2026.07.17	17:00:00	175225	175275	175125	175185	41968	167605	1
2026.07.17	17:15:00	175185	175235	175140	175180	18661	74176	1
2026.07.17	17:30:00	175175	175200	174900	174930	33467	127793	1
2026.07.17	17:45:00	174925	175080	174870	174935	28196	105163	1
2026.07.17	18:00:00	174935	175050	174880	175040	21434	68151	1
2026.07.17	18:15:00	175045	175100	174925	175070	10115	53243	1
2026.07.20	09:00:00	175580	175705	174725	175185	367276	1079319	1
2026.07.20	09:15:00	175180	175245	174780	175190	236646	770260	1
2026.07.20	09:30:00	175190	175350	175030	175165	161352	527361	1
2026.07.20	09:45:00	175170	175395	175000	175260	160674	545998	1
2026.07.20	10:00:00	175260	175955	175195	175475	314072	1059268	1
2026.07.20	10:15:00	175480	175510	175090	175185	212183	706663	1
2026.07.20	10:30:00	175190	175370	174570	174665	333529	1181758	1
2026.07.20	10:45:00	174670	175245	174530	175120	211638	742488	1
2026.07.20	11:00:00	175125	175435	174900	174965	191458	671729	1
2026.07.20	11:15:00	174965	175275	174930	175170	125219	426613	1
2026.07.20	11:30:00	175170	175550	175145	175450	141470	485351	1
2026.07.20	11:45:00	175450	175800	175410	175555	145547	521265	1
2026.07.20	12:00:00	175555	175650	175285	175290	120799	456932	1
2026.07.20	12:15:00	175295	175335	175145	175305	81171	302246	1
2026.07.20	12:30:00	175305	175490	175295	175480	76545	280397	1
2026.07.20	12:45:00	175475	175610	175295	175465	77794	276961	1
2026.07.20	13:00:00	175465	175710	175420	175635	66461	236261	1
2026.07.20	13:15:00	175630	175690	175395	175430	66812	247169	1
2026.07.20	13:30:00	175425	175475	175080	175230	90281	352621	1
2026.07.20	13:45:00	175230	175330	174905	174960	79686	288085	1
2026.07.20	14:00:00	174960	175065	174900	174975	57663	213986	1
2026.07.20	14:15:00	174980	175040	174915	174985	36312	138739	1
2026.07.20	14:30:00	174985	175045	174845	174950	56977	219057	1
2026.07.20	14:45:00	174955	175175	174860	175150	63968	237650	1
2026.07.20	15:00:00	175150	175365	175150	175280	58223	226493	1
2026.07.20	15:15:00	175275	175280	175090	175155	61003	246568	1
2026.07.20	15:30:00	175155	175310	175065	175065	73408	290705	1
2026.07.20	15:45:00	175070	175110	174960	175095	57824	224373	1
2026.07.20	16:00:00	175095	175200	175005	175025	61024	244030	1
2026.07.20	16:15:00	175020	175150	174930	175090	64732	267765	1
2026.07.20	16:30:00	175090	175235	175035	175185	55506	216562	1
2026.07.20	16:45:00	175185	175210	174955	175005	57169	229081	1
2026.07.20	17:00:00	175000	175045	174625	174685	63618	252573	1
2026.07.20	17:15:00	174680	174765	174625	174670	36407	151968	1
2026.07.20	17:30:00	174675	174760	174655	174700	19630	78621	1
2026.07.20	17:45:00	174700	174795	174685	174745	19718	66937	1
2026.07.20	18:00:00	174745	174750	174560	174695	30683	82320	1
2026.07.20	18:15:00	174695	174735	174595	174665	13592	53441	1
2026.07.21	09:00:00	175245	175345	174535	175050	391133	1118777	1
2026.07.21	09:15:00	175050	175090	174425	174630	233493	728896	1
2026.07.21	09:30:00	174630	175015	174540	174770	195185	610948	1
2026.07.21	09:45:00	174770	174870	174550	174665	137705	432425	1
2026.07.21	10:00:00	174665	174850	174520	174770	215294	707214	1
2026.07.21	10:15:00	174765	174980	174350	174610	286423	976954	1
2026.07.21	10:30:00	174610	175100	173870	174060	393542	1337715	1
2026.07.21	10:45:00	174055	174530	173990	174070	252569	846270	1
2026.07.21	11:00:00	174070	174550	173935	174505	210573	713023	1
2026.07.21	11:15:00	174510	174610	174005	174090	159118	537620	1
2026.07.21	11:30:00	174085	174295	173715	173885	154155	542794	1
